date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:50:04	208/208	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Oct%202020%2011:49:48%20GMT	http://demo.themeforshop.com/robots.txt		(from )
18:50:05	121504/121504	---M-Z	200	added ('OK')	text/html	etag:%221daa0-58a218777edf8-gzip%22	http://demo.themeforshop.com/html_fastfood/	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/index.html	(from )
18:50:05	117305/117305	---M-Z	200	added ('OK')	text/css	etag:%221544639647%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.4/css/bootstrap.min.css	C:/My%20Web%20Sites/web/maxcdn.bootstrapcdn.com/bootstrap/3.3.4/css/bootstrap.min.css	(from http://demo.themeforshop.com/html_fastfood/)
18:50:05	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%221544639720%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/web/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from http://demo.themeforshop.com/html_fastfood/)
18:50:06	2195/2195	---M--	200	added ('OK')	text/css	etag:%22893-58a218779d640%22	http://demo.themeforshop.com/html_fastfood/assets/stylesheets/fonts.googleapis.css	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/assets/stylesheets/fonts.googleapis.css	(from http://demo.themeforshop.com/html_fastfood/)
18:50:06	7354/7354	---M-Z	200	added ('OK')	text/css	etag:%220b704046d76bb4d3929be4f7f20472f5%22	https://cdn.linearicons.com/free/1.0.0/icon-font.min.css	C:/My%20Web%20Sites/web/cdn.linearicons.com/free/1.0.0/icon-font.min.css	(from http://demo.themeforshop.com/html_fastfood/)
18:50:07	5266/5266	---M-Z	200	added ('OK')	text/css	date:Sun,%2007%20Jun%202020%2003:05:54%20GMT	https://cdn.shopify.com/s/files/1/2487/3424/t/3/assets/social-buttons.scss.css	C:/My%20Web%20Sites/web/cdn.shopify.com/s/files/1/2487/3424/t/3/assets/social-buttons.scss.css	(from http://demo.themeforshop.com/html_fastfood/)
18:50:12	1679/1679	---M--	200	added ('OK')	text/css	etag:%2268f-58a21877a0520%22	http://demo.themeforshop.com/html_fastfood/assets/stylesheets/font-icon.css	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/assets/stylesheets/font-icon.css	(from http://demo.themeforshop.com/html_fastfood/)
18:50:12	701120/701120	---M--	200	added ('OK')	text/css	etag:%22ab2c0-58a21877b1690%22	http://demo.themeforshop.com/html_fastfood/assets/stylesheets/cs.styles.css	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/assets/stylesheets/cs.styles.css	(from http://demo.themeforshop.com/html_fastfood/)
18:50:12	1476/1476	---M-Z	200	added ('OK')	text/css	date:Tue,%2017%20Dec%202019%2020:10:34%20GMT	https://cdn.shopify.com/s/files/1/2487/3424/t/3/assets/owl.carousel.css	C:/My%20Web%20Sites/web/cdn.shopify.com/s/files/1/2487/3424/t/3/assets/owl.carousel.css	(from http://demo.themeforshop.com/html_fastfood/)
18:50:12	72884/72884	---M-Z	200	added ('OK')	text/css	date:Tue,%2017%20Dec%202019%2020:11:17%20GMT	https://cdn.shopify.com/s/files/1/2487/3424/t/3/assets/cs.animate.css	C:/My%20Web%20Sites/web/cdn.shopify.com/s/files/1/2487/3424/t/3/assets/cs.animate.css	(from http://demo.themeforshop.com/html_fastfood/)
18:50:13	1444/1444	---M-Z	200	added ('OK')	text/css	date:Tue,%2017%20Dec%202019%2020:10:35%20GMT	https://cdn.shopify.com/s/files/1/2487/3424/t/3/assets/slideshow-fade.css	C:/My%20Web%20Sites/web/cdn.shopify.com/s/files/1/2487/3424/t/3/assets/slideshow-fade.css	(from http://demo.themeforshop.com/html_fastfood/)
18:50:13	42152/42152	---M-Z	200	added ('OK')	text/css	date:Wed,%2011%20Dec%202019%2010:48:09%20GMT	https://cdn.shopify.com/s/files/1/2487/3424/t/3/assets/animations.css	C:/My%20Web%20Sites/web/cdn.shopify.com/s/files/1/2487/3424/t/3/assets/animations.css	(from http://demo.themeforshop.com/html_fastfood/)
18:50:13	65291/65291	---M-Z	200	added ('OK')	text/css	date:Tue,%2017%20Dec%202019%2020:11:31%20GMT	https://cdn.shopify.com/s/files/1/2487/3424/t/3/assets/themepunch.revolution.css	C:/My%20Web%20Sites/web/cdn.shopify.com/s/files/1/2487/3424/t/3/assets/themepunch.revolution.css	(from http://demo.themeforshop.com/html_fastfood/)
18:50:14	3971/3971	---M-Z	200	added ('OK')	text/css	date:Fri,%2002%20Oct%202020%2011:50:14%20GMT	https://cdn.shopify.com/s/files/1/2487/3424/t/3/assets/jquery.fancybox.scss.css	C:/My%20Web%20Sites/web/cdn.shopify.com/s/files/1/2487/3424/t/3/assets/jquery.fancybox.scss.css	(from http://demo.themeforshop.com/html_fastfood/)
18:50:15	1656/1656	---M--	200	added ('OK')	application/javascript	etag:%22678-58a2187785f40%22	http://demo.themeforshop.com/html_fastfood/assets/javascripts/classie.js	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/assets/javascripts/classie.js	(from http://demo.themeforshop.com/html_fastfood/)
18:50:25	56482/56482	---M--	200	added ('OK')	application/javascript	etag:%22dca2-58a2187787a98%22	http://demo.themeforshop.com/html_fastfood/assets/javascripts/application-appear.js	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/assets/javascripts/application-appear.js	(from http://demo.themeforshop.com/html_fastfood/)
18:50:30	23522/23522	---M--	200	added ('OK')	application/javascript	etag:%225be2-58a218778d470%22	http://demo.themeforshop.com/html_fastfood/assets/javascripts/cs.script.js	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/assets/javascripts/cs.script.js	(from http://demo.themeforshop.com/html_fastfood/)
18:50:33	14443/14443	---M--	200	added ('OK')	application/javascript	etag:%22386b-58a2187788e20%22	http://demo.themeforshop.com/html_fastfood/assets/javascripts/jquery.currencies.min.js	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/assets/javascripts/jquery.currencies.min.js	(from http://demo.themeforshop.com/html_fastfood/)
18:50:33	155185/155185	---M--	200	added ('OK')	application/javascript	etag:%2225e31-58a2187784fa0%22	http://demo.themeforshop.com/html_fastfood/assets/javascripts/jquery.min.js	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/assets/javascripts/jquery.min.js	(from http://demo.themeforshop.com/html_fastfood/)
18:50:34	2520/2520	---M--	200	added ('OK')	application/javascript	etag:%229d8-58a2187782c78%22	http://demo.themeforshop.com/html_fastfood/assets/javascripts/jquery.zoom.min.js	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/assets/javascripts/jquery.zoom.min.js	(from http://demo.themeforshop.com/html_fastfood/)
18:50:34	108442/108442	---M--	200	added ('OK')	application/javascript	etag:%221a79a-58a2187786af8%22	http://demo.themeforshop.com/html_fastfood/assets/javascripts/jquery.themepunch.revolution.min.js	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/assets/javascripts/jquery.themepunch.revolution.min.js	(from http://demo.themeforshop.com/html_fastfood/)
18:50:34	3535/3535	---M--	200	added ('OK')	application/javascript	etag:%22dcf-58a21877895f0%22	http://demo.themeforshop.com/html_fastfood/assets/javascripts/linkOptionSelectors.js	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/assets/javascripts/linkOptionSelectors.js	(from http://demo.themeforshop.com/html_fastfood/)
18:50:35	128124/128124	---M--	200	added ('OK')	application/javascript	etag:%221f47c-58a218778b918%22	http://demo.themeforshop.com/html_fastfood/assets/javascripts/jquery.themepunch.plugins.min.js	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/assets/javascripts/jquery.themepunch.plugins.min.js	(from http://demo.themeforshop.com/html_fastfood/)
18:50:36	1976/1976	---M--	200	added ('OK')	application/javascript	etag:%227b8-58a218778ebe0%22	http://demo.themeforshop.com/html_fastfood/assets/javascripts/social-buttons.js	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/assets/javascripts/social-buttons.js	(from http://demo.themeforshop.com/html_fastfood/)
18:50:36	9086/9086	---M--	200	added ('OK')	application/javascript	etag:%22237e-58a2187788650%22	http://demo.themeforshop.com/html_fastfood/assets/javascripts/scripts.js	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/assets/javascripts/scripts.js	(from http://demo.themeforshop.com/html_fastfood/)
18:50:37	35682/35682	---M--	200	added ('OK')	application/javascript	etag:%228b62-58a218778a1a8%22	http://demo.themeforshop.com/html_fastfood/assets/javascripts/owl.carousel.min.js	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/assets/javascripts/owl.carousel.min.js	(from http://demo.themeforshop.com/html_fastfood/)
18:50:38	10629/10629	---M--	200	added ('OK')	application/javascript	etag:%222985-58a2187786ee0%22	http://demo.themeforshop.com/html_fastfood/assets/javascripts/jquery.touchSwipe.min.js	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/assets/javascripts/jquery.touchSwipe.min.js	(from http://demo.themeforshop.com/html_fastfood/)
18:50:38	121504/121504	---M-Z	200	added ('OK')	text/html	etag:%221daa0-58a218777edf8-gzip%22	http://demo.themeforshop.com/html_fastfood/index.html	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/index-2.html	(from http://demo.themeforshop.com/html_fastfood/)
18:50:39	2638/2638	---M--	200	added ('OK')	image/png	etag:%22a4e-58a21877f1218%22	http://demo.themeforshop.com/html_fastfood/assets/images/logo.png	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/assets/images/logo.png	(from http://demo.themeforshop.com/html_fastfood/)
18:50:40	181405/181405	---M-Z	200	added ('OK')	text/html	etag:%222c49d-58a2187805650-gzip%22	http://demo.themeforshop.com/html_fastfood/collections.html	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/collections.html	(from http://demo.themeforshop.com/html_fastfood/)
18:50:40	77922/77922	---M-Z	200	added ('OK')	text/html	etag:%2213062-58a21877faa70-gzip%22	http://demo.themeforshop.com/html_fastfood/super-deal.html	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/super-deal.html	(from http://demo.themeforshop.com/html_fastfood/)
18:50:41	47286/47286	---M-Z	200	added ('OK')	text/html	etag:%22b8b6-58a2187780180-gzip%22	http://demo.themeforshop.com/html_fastfood/contact.html	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/contact.html	(from http://demo.themeforshop.com/html_fastfood/)
18:50:41	35951/35951	---M--	200	added ('OK')	application/javascript	etag:%228c6f-58a21877824a8%22	http://demo.themeforshop.com/html_fastfood/assets/javascripts/bootstrap.min.js	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/assets/javascripts/bootstrap.min.js	(from http://demo.themeforshop.com/html_fastfood/)
18:50:41	55452/55452	---M-Z	200	added ('OK')	text/html	etag:%22d89c-58a21877fba10-gzip%22	http://demo.themeforshop.com/html_fastfood/blog.html	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/blog.html	(from http://demo.themeforshop.com/html_fastfood/)
18:50:42	46195/46195	---M-Z	200	added ('OK')	text/html	etag:%22b473-58a21878090e8-gzip%22	http://demo.themeforshop.com/html_fastfood/about-us.html	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/about-us.html	(from http://demo.themeforshop.com/html_fastfood/)
18:50:42	53929/53929	---M-Z	200	added ('OK')	text/html	etag:%22d2a9-58a2187802388-gzip%22	http://demo.themeforshop.com/html_fastfood/faqs.html	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/faqs.html	(from http://demo.themeforshop.com/html_fastfood/)
